,单词,中文释义,音标,学期,单元
106,nine,九,[naɪn],二年级上册,Unit1-5
107,ten,十,[ten],二年级上册,Unit1-5
108,run,跑步,[rʌn],二年级上册,Unit1-5
109,write,写字,[raɪt],二年级上册,Unit1-5
110,swim,游泳,[swɪm],二年级上册,Unit1-5
111,fly,飞,[flaɪ],二年级上册,Unit1-5
112,young,年轻的,[jʌŋ],二年级上册,Unit1-5
113,old,年老的,[əʊld],二年级上册,Unit1-5
114,hair,头发,[heə],二年级上册,Unit6-10
115,head,头,[hed],二年级上册,Unit6-10
116,face,脸,[feɪs],二年级上册,Unit6-10
117,slide,滑梯,[slaɪd],二年级上册,Unit6-10
118,swing,秋千,[swɪŋ],二年级上册,Unit6-10
119,seesaw,跷跷板,['siːsɔː],二年级上册,Unit6-10
120,bag,包,[bæg],二年级上册,Unit6-10
121,box,盒子,[bɒks],二年级上册,Unit6-10
122,desk,课桌,[desk],二年级上册,Unit6-10
123,chair,椅子,[tʃeə],二年级上册,Unit6-10
124,bowl,碗,[bəʊl],二年级上册,Unit6-10
125,plate,盘子,[pleɪt],二年级上册,Unit6-10
126,spoon,调羹；勺子,[spuːn],二年级上册,Unit6-10
127,chopsticks,筷子,['tʃɒpstɪks],二年级上册,Unit6-10
128,sun,太阳,[sʌn],二年级上册,Unit6-10
129,moon,月亮,[muːn],二年级上册,Unit6-10
130,star,星星,[stɑː],二年级上册,Unit6-10
131,fox,狐狸,[fɒks],二年级上册,Unit11-12
132,hippo,河马,['hɪpəʊ],二年级上册,Unit11-12
133,meat,肉,[miːt],二年级上册,Unit11-12
134,grass,草,[grɑːs],二年级上册,Unit11-12
135,flower,花,['flaʊə],二年级上册,Unit11-12
136,tree,树,[triː],二年级上册,Unit11-12
137,white,白色的,[waɪt],二年级下册,Unit1-3
138,purple,紫色的,['pɜːp(ə)l],二年级下册,Unit1-3
139,pink,粉色的,[pɪŋk],二年级下册,Unit1-3
140,orange,橘色的,['ɒrɪn(d)ʒ],二年级下册,Unit1-3
141,brown,棕色的,[braʊn],二年级下册,Unit1-3
142,black,黑色的,[blæk],二年级下册,Unit1-3
143,watch,手表,[wɒtʃ],二年级下册,Unit1-3
144,bag,书包,[bæg],二年级下册,Unit1-3
145,soft,柔软的,[sɒft],二年级下册,Unit1-3
146,hard,硬的,[hɑːd],二年级下册,Unit1-3
147,rough,粗造的,[rʌf],二年级下册,Unit1-3
148,smooth,平滑的,[smuːð],二年级下册,Unit1-3
149,train,火车,[treɪn],二年级下册,Unit1-3
150,bus,公共汽车,[bʌs],二年级下册,Unit1-3
151,car,小汽车,[kɑː],二年级下册,Unit1-3
152,van,面包车,[væn],二年级下册,Unit1-3
153,bicycle,自行车,['baɪsɪkl],二年级下册,Unit1-3
154,ship,轮船,[ʃɪp],二年级下册,Unit1-3
155,run,跑,[rʌn],二年级下册,Unit4-7
156,skate,滑冰,[skeɪt],二年级下册,Unit4-7
157,hop,单脚跳,[hɒp],二年级下册,Unit4-7
158,skip,跳绳,[skɪp],二年级下册,Unit4-7
159,ride a bicycle,骑自行车,,二年级下册,Unit4-7
160,salad,沙拉,['sæləd],二年级下册,Unit4-7
161,carrot,胡萝卜,['kærət],二年级下册,Unit4-7
162,fish,鱼,[fɪʃ],二年级下册,Unit4-7
163,chicken,鸡肉,['tʃɪkɪn],二年级下册,Unit4-7
164,banana,香蕉,[bə'nɑːnə],二年级下册,Unit4-7
165,giraffe,长颈鹿,[dʒɪˈrɑ:f],二年级下册,Unit4-7
166,snake,蛇,[sneɪk],二年级下册,Unit4-7
167,elephant,大象,['elɪf(ə)nt],二年级下册,Unit4-7
168,zebra,斑马,['ziːbrə],二年级下册,Unit4-7
169,autumn,秋天,['ɔːtəm],二年级下册,Unit4-7
170,winter,冬天,['wɪntə],二年级下册,Unit4-7
171,cool,凉快的,[kuːl],二年级下册,Unit4-7
172,cold,冷的,[kəʊld],二年级下册,Unit4-7
173,stop,停,[stɒp],二年级下册,Unit8-12
174,go,走,[gəʊ],二年级下册,Unit8-12
175,wait,等,[weɪt],二年级下册,Unit8-12
176,light,灯,[laɪt],二年级下册,Unit8-12
177,trousers,长裤,['traʊzəz],二年级下册,Unit8-12
178,sweater,毛衣,['swetə],二年级下册,Unit8-12
179,shirt,男式衬衫,[ʃɜːt],二年级下册,Unit8-12
180,coat,大衣,[kəʊt],二年级下册,Unit8-12
181,play football,踢足球,,二年级下册,Unit8-12
182,play basketball,打篮球,,二年级下册,Unit8-12
183,play ping-pong,打乒乓球,,二年级下册,Unit8-12
184,play cards,打牌,,二年级下册,Unit8-12
185,letter,信,['letə],二年级下册,Unit8-12
186,balloon,气球,[bə'luːn],二年级下册,Unit8-12
