词根序号,词根,词根含义,单词,音标,中文释义,词根词缀拆解
71,"join, junct",连接,join,/dʒɔɪn/,v. 和……一道；参加（组织）；参加（活动）； 加入（队列）,join 表示“连接”
71,"join, junct",连接,joint,/dʒɔɪnt/,adj. 联合的，共同的 n. 关节；连接处,join 连接 + 后缀 -t（= -ed）表示形容词，“被……的”，可转化为名词
71,"join, junct",连接,enjoin,/ɪn'dʒɔɪn/,v. 命令，规定；（法官判令）禁止,前缀 en- 使……进入 + join 连接→使进入连接状态开始发布命令
71,"join, junct",连接,junction,/'dʒʌŋkʃən/,n.（铁路、公路的）汇合点,junct 连接 + 后缀 -ion 表示名词→连接的地方
71,"join, junct",连接,conjunction,/kən'dʒʌŋkʃən/,n. 同时发生，同地发生；连词,conjunct 共同的 + 后缀 -ion 表示名词
72,lat,拿；带；负,translate,/træns'leɪt/,v. 翻译；（翻译过来）意思是,前缀 trans- 穿越 + lat 带 + e →把意思从一种语言带到另一种语言
72,lat,拿；带；负,translation,/træns'leɪʃən/,n. 译文,translate 翻译 + 后缀 -ion 表示名词
72,lat,拿；带；负,translator,/træns'leɪtə/,n. 译员,translate 翻译 + 后缀 -or 表示名词，“人或物”
72,lat,拿；带；负,relate,/rɪ'leɪt/,v. 与……有关；发生联系，与……相联系,前缀 re- 回 + lat 带 + e →带回来→发生联系
72,lat,拿；带；负,relation,/rɪ'leɪʃən/,n. 关系；亲属,relate 与……有关 + 后缀 -ion 表示名词
72,lat,拿；带；负,relationship,/rɪ'leɪʃənʃɪp/,n. 关系；联系,relation 关系 + 后缀 -ship 表示名词，“状况”→有关系的状 态→联系
72,lat,拿；带；负,relative,/'rɛlətɪv/,n. 亲属；亲缘物种，同源事物 adj. 相对的；比较而言的,relate 与……有关 + 后缀 -ive 表示形容词，“……性质的”， 可转化为名词→与……有关的就是相对而言的
72,lat,拿；带；负,relativity,"/,rɛlə'tɪvɪtɪ/",n. 相对论,relative 相对的 + 后缀 -ity 表示名词，“性质”
73,"leg, lect, lig",收集；挑选,college,/'kɒlɪdʒ/,n. 大学，学院,前缀 col- 共同 + leg 挑选 + e →共同挑选出来的精英聚集的地方
73,"leg, lect, lig",收集；挑选,colleague,/'kɒli:ɡ/,n. 同事,前缀 col- 一起 + leag（= leg）挑选 + ue →选择在一起工作的人→同事
73,"leg, lect, lig",收集；挑选,elegant,/'ɛlɪɡənt/,adj. 优雅的；精妙的,前缀 e-（= ex-）向外 + leg 挑选 + 后缀 -ant 表示形容词→万里挑一的
73,"leg, lect, lig",收集；挑选,collect,/kə'lɛkt/,v. 采集，收集；收集（邮票或书等）；积聚；聚集（光、能 量或热量等）；募捐,前缀 col- 共同 + lect 收集→收集到一起
73,"leg, lect, lig",收集；挑选,collection,/kə'lɛkʃən/,n. 收藏品；（作品）集；组群,collect 收集 + 后缀 -ion 表示名词
73,"leg, lect, lig",收集；挑选,elect,/ɪ'lɛkt/,v. 选举；选择,前缀 e-（= ex-）向外 + lect 挑选→挑选出来→选举
73,"leg, lect, lig",收集；挑选,election,/ɪ'lɛkʃən/,n. 选举；当选,elect 选举 + 后缀 -ion 表示名词
73,"leg, lect, lig",收集；挑选,intellectual,"/,ɪntɪ'lɛktʃʊəl/",adj. 智力的；有高智力的 n. 知识分子,intellect 智力 + 后缀 -ual 表示形容词或表示名词
73,"leg, lect, lig",收集；挑选,intelligent,/ɪn'tɛlɪdʒənt/,adj. 有智慧的；有智能的,前缀 intel- 在……中间 + lig 挑选 + 后缀 -ent 表示形容词→懂得在纷乱中做出正确选择的→有智慧的
73,"leg, lect, lig",收集；挑选,intelligence,/ɪn'tɛlɪdʒəns/,n. 聪明；智能；情报,前缀 intel- 在……中间 + lig 挑选 + 后缀 -ence 表示名词
73,"leg, lect, lig",收集；挑选,neglect,/nɪ'ɡlɛkt/,v. 忽视；疏忽；疏于照管 n. 疏于管照,前缀 neg- 否认 + lect 挑选→明明看见也不选择→忽视
73,"leg, lect, lig",收集；挑选,select,/sɪ'lɛkt/,v. 挑选，选择 adj. 精选的；第一流的,前缀 se- 离开 + lect 挑选→从……挑选出来（带有排斥性）
73,"leg, lect, lig",收集；挑选,selective,/sɪ'lɛktɪv/,adj. 选择性的；仔细挑选的，讲究的；选择性的（记忆）,select 挑选 + 后缀 -ive 表示形容词，“……性质的”
73,"leg, lect, lig",收集；挑选,diligent,/'dɪlɪdʒənt/,adj. 勤奋的,前缀di-（= dis-）分开+ lig挑选+后缀-ent表示形容词→把（知识等）不断挑选出来分开→勤奋的
