词根序号,词根,词根含义,单词,音标,中文释义,词根词缀拆解
31,pet(it),寻求；追求,compete,/k?m'pi:t/,v.（与……）竞争；争夺；参加（竞赛或比赛）,前缀 com- 一起 + pet 追求 + e →一起追求就要竞争
31,pet(it),寻求；追求,competition,"/,k?mp?'t???n/",n. 竞争；竞赛,compete 竞争 + 后缀 -ition 表示名词
31,pet(it),寻求；追求,competitor,/k?m'p?t?t?/,n. 竞争对手；参赛者,compete 竞争 + -it- + 后缀 -or 表示名词，“人或物”
31,pet(it),寻求；追求,competitive,/k?m'p?t?t?v/,adj. 竞争的；好胜的；（商品、服务）有竞争力的,compete 竞争 + -it- + 后缀 -ive 表示形容词，“……性质的”
31,pet(it),寻求；追求,competent,/'k?mp?t?nt/,adj. 有能力的；能胜任的,compete 竞争 + 后缀 -ent 表示形容词
31,pet(it),寻求；追求,competence,/'k?mp?t?ns/,n. 能力,compete 竞争 + 后缀 -ence 表示名词
31,pet(it),寻求；追求,appetite,"/'?p?,ta?t/",n. 胃口；欲望,前缀 ap- 去 + petit 追求 + e →去追求好吃的东西
31,pet(it),寻求；追求,repeat,/r?'pi:t/,v. 重复，重说，重写；照着说，照着写，把……告诉别人；（常指失误造成的）反复地讲；再做，重做,前缀 re- 再次 + peat（= pet）追求→重复
31,pet(it),寻求；追求,repetition,"/,r?p?'t???n/",n.（尤指令人不快的事情）重演；重复的语句,前缀 re- 再次 + petit 追求 + 后缀 -ion 表示名词
32,port(at),拿；运,port,/p?:t/,n. 港口城市；港口；端口,port 运→运输货物的港口
32,port(at),拿；运,portable,/'p?:t?b?l/,adj. 便携式的 n. 便携式设备,port 运 + 后缀 -able 表示形容词，“能……的”，可转化为名词
32,port(at),拿；运,passport,/'pɑ:sp?:t/,n. 护照,pass 通过 + port 港口
32,port(at),拿；运,export,/?k'sp?:t/,v. 出口；引入他国；导出（文件、信息） n. 出口；出口品,前缀 ex- 向外 + port 港口→送出港口
32,port(at),拿；运,import,/?m'p?:t/,v. 进口；导入 n. 进口；进口商品；重要性,前缀 im- 进入 + port 港口→进口的都是重要货物→重要性
32,port(at),拿；运,important,/?m'p?:t?nt/,adj. 重要的；有势力的,import 重要性 + 后缀 -ant 表示形容词
32,port(at),拿；运,importance,/?m'p?:t?ns/,n. 重要；名望,import 重要性 + 后缀 -ance 表示名词
32,port(at),拿；运,report,/r?'p?:t/,v. 报告，告知；报道，（工作或职责上）汇报；告发，控告； 报到 n.（报刊或广播电视上的）报道；（调查）报告；报告，告知；传闻,前缀 re- 回 + port 拿→把事实真相拿回来报告
32,port(at),拿；运,sport,/sp?:t/,n. 体育运动，游戏,disport 的缩写词
32,port(at),拿；运,support,/s?'p?:t/,v. 支持；资助，供养 n. 支持；（给处境困难或不幸者的）帮 助；（给组织的）资助,前缀 sup- 在……下 + port 拿→在下面支撑着
32,port(at),拿；运,transport,/tr?n'sp?:t/,v. 运输 n. 交通工 具； 交通运输系 统； 运输,前缀 trans- 穿越 + port 运→让货物穿越各种路线运来运去
33,pos(it)，pon,放；置,pose,/p??z/,v. 造成（问题或危险）；提出（问题）；假扮；摆姿势 n. 姿势,pos 放 + e →把问题放在那儿或者把自己摆在那儿
33,pos(it)，pon,放；置,position,/p?'z???n/,n. 位置；姿势；（社会）地位；职位；（比赛、竞赛中的） 名次 v. 小心放置,posit 放置 + 后缀 -ion 表示名词，可转化为动词
33,pos(it)，pon,放；置,compose,/k?m'p??z/,v. 组成；创作（乐曲），作曲；（用心）写（信、诗、演 讲稿）,前缀 com- 一起 + pos 放 + e →放到一起组成乐曲或文章
33,pos(it)，pon,放；置,composition,"/,k?mp?'z???n/",n. 构成；（作曲家、画家等艺术家的）作品；（学生的）作文,compose 组成；创作；写 + 后缀 -ition 表示名词
33,pos(it)，pon,放；置,deposit,/d?'p?z?t/,n. 保证金；存款；沉积物，矿床；押金 v. 储蓄；放置；寄存,前缀 de- 向下 + posit 放→放下不用存起来
33,pos(it)，pon,放；置,dispose,/d?'sp??z/,v. 处理，安排,前缀 dis- 分开 + pos 放 + e →这个放这里，那个放那里
33,pos(it)，pon,放；置,expose,/?k'sp??z/,v. 显露；揭露；使暴露于（危险或令人不快的境地）；使 体验（观念、情感），引入（观念、情感）,前缀 ex- 向外 + pos 放 + e →放在外面暴露
33,pos(it)，pon,放；置,exposure,/?k'sp????/,n. 暴露；受冻；揭发,expose 暴露 + 后缀 -ure 表示名词，“状态”
33,pos(it)，pon,放；置,impose,/?m'p??z/,v. 强制实行；把（观点、信仰等）强加于；使承受（令人 不快之事物）；不合理地要求,前缀 im- 里（这里指“心里”）+ pos 放 + e →强行放进心里 去→强加
33,pos(it)，pon,放；置,oppose,/?'p??z/,v. 反对,前缀 op- 反 + pos 放 + e →反着放的→反对
33,pos(it)，pon,放；置,opposite,/'?p?z?t/,prep. 在……的对面 adj. 对面的；截然相反的 n. 正好相反的人或事物,oppose 反对 + 后缀 -ite 表示形容词，可转化为名词或介词
33,pos(it)，pon,放；置,propose,/pr?'p??z/,v. 建议；打算；提出，提名；求婚,前缀 pro- 向前 + pos 放 + e →把计划或者戒指拿出来放在面前
33,pos(it)，pon,放；置,purpose,/'p?:p?s/,n. 目的，用途；目标；意志,前缀 pur-（= per-）始终 + pos 置 + e →始终置于前面的目标
33,pos(it)，pon,放；置,suppose,/s?'p??z/,v. 假设；（根据所知）料想,前缀 sup- 在……下 + pos 置 + e →置于底层的（假设）
33,pos(it)，pon,放；置,component,/k?m'p??n?nt/,n. 组成部分 adj. 组成的,前缀 com- 一起 + pon 放 + 后缀 -ent 表示名词，“人或物”， 或表示形容词→（各部分）放在一起的
33,pos(it)，pon,放；置,postpone,/p??st'p??n/,v. 推迟,前缀 post- 后 + pon 置 + e →往后放
34,press,压,pressure,/'pr???/,n.（有形或无形的）压力,press 压 + 后缀 -ure 表示名词，“状态”
34,press,压,depress,/d?'pr?s/,v. 使沮丧，使抑郁；使降低,前缀 de- 向下 + press 压→把心气压下去→沮丧
34,press,压,express,/?k'spr?s/,v. 表达；（想法、情感）流露，呈现 adj. 明确陈述的；快递 的 n. 快速列车,前缀 ex- 向外 + press 压→把（思想）挤压出来表达
34,press,压,impress,/?m'pr?s/,v. 使钦佩；使明白；使铭记在心；使留下印象,前缀 im- 里（这里指“心里”）+ press 压→压进心里
35,prov，prob,试验；验证,prove,/pru:v/,v. 证明是；证明,prove 表示“证明”
35,prov，prob,试验；验证,approve,/?'pru:v/,v. 喜欢；赞赏,前缀 ap- 去 + prov 验证 + e →证明可行→赞赏
35,prov，prob,试验；验证,disapprove,"/,d?s?'pru:v/",v. 不赞同；不喜欢,前缀 dis- 否定 + approve 赞赏
35,prov，prob,试验；验证,improve,/?m'pru:v/,v. 改进；提高；康复,前缀 im- 进入 + prov 验证 + e →进入验证阶段加以改进
35,prov，prob,试验；验证,probable,/'pr?b?b?l/,adj. 可能（是真实、发生）的；可能（拥有）的,prob 验证 + 后缀 -able 表示形容词，“能……的”→能验证 的→有可能的
35,prov，prob,试验；验证,probably,/'pr?b?bl?/,adv. 可能（为事实）地；可能（用以缓和语气）,probable 可能的 + 后缀 -ly 表示副词
36,reg，rect,画直线；引导；治理,regular,/'r?ɡj?l?/,adj. 定期的；经常的；固定的；规律的，规则的 n. 常客， 正式队员,reg 画直线 + 后缀 -ular 表示形容词，或表示名词，“人或物”→ 直线的就是规则的，规律的
36,reg，rect,画直线；引导；治理,irregular,/?'r?ɡj?l?/,adj. 不规律的；不规则的，不平整的,前缀 ir- 不 + regular 规律的
36,reg，rect,画直线；引导；治理,regulation,"/,r?ɡj?'le???n/",n. 法规，条例；管理,regulate 控制 + 后缀 -ion 表示名词
36,reg，rect,画直线；引导；治理,region,/'ri:d??n/,n. 地区；（身体）部位,reg 治理 + 后缀 -ion 表示名词→治理的区域
36,reg，rect,画直线；引导；治理,rectangle,"/'r?k,t??ɡ?l/",n. 长方形,rect 画直线 + angle 角→四个直角组成的形状
36,reg，rect,画直线；引导；治理,correct,/k?'r?kt/,adj. 正确的；合适的，恰当的 v. 纠正；批改,前缀 cor- 完全 + rect 画直线→全部都直了→正确的；纠正
36,reg，rect,画直线；引导；治理,direct,"/d?'r?kt,da?-/",adj. 直达的；（经历、行动、体制等）直接的 v. 瞄准；（把 注意力、感情或者行动）集中于；针对，（目光）投向；指路；指挥,前缀 di-（= dis-）分开 + rect 画直线→直接的；瞄准，集中前缀 di-（= dis-）分开 + rect 引导→指路，指挥
36,reg，rect,画直线；引导；治理,director,/d?'r?kt?，da?-/,n. 导演；主任，主管；董事；（合唱团的）指挥,direct 指挥 + 后缀 -or 表示名词，“人或物”
